species,taxid,family,PLA2,SVSP,SVMP,LAAO,3FTX,KUN,CRISP,SNACLEC,DIS,NP,OTHER
Bitis arietans,8692,Viperidae,"4,30","19,50","38,50",,,"4,20",,"13,20","17,80",,"2,50"
Bitis gabonica,8694,Viperidae,"11,40","26,40","22,90","1,30",,"3,00","2,00","14,30","3,40","2,80","12,50"
Bitis nasicornis,8695,Viperidae,"20,10","21,90","40,90","3,20",,,"1,30","4,20","3,50",,"4,90"
Bitis rhinoceros,715877,Viperidae,"4,80","23,90","30,80","2,20",,"7,50","1,20","14,10","8,50","0,30","6,70"
Bungarus caeruleus,132961,Elapidae,"64,50",,"1,30",,"19,00","4,40","5,50",,,,"5,30"
Bungarus candidus,92438,Elapidae,"25,20","3,90","4,90","5,80","30,10","12,60","3,90",,,"1,00","12,60"
Bungarus magnimaculatus,1969162,Elapidae,,,,,,,,,,,
Bungarus multicinctus,8616,Elapidae,,,,,,,,,,,
Bungarus niger,282406,Elapidae,,,,,,,,,,,
Bungarus sindanus,282163,Elapidae,,,,,,,,,,,
Bungarus slowinskii,364521,Elapidae,,,,,,,,,,,
Calloselasma rhodostoma,8717,Viperidae,"4,40","14,90","41,20","7,00",,,"2,50","26,30",,,"3,70"
Cerastes cerastes,8697,Viperidae,"17,85","10,05","59,2","3,1",,,"0,35","2,45","6,7",,"0,30"
Daboia russelii,8707,Viperidae,"33,43","9,07","17,83","2,03",,"15,17","3,80","10,20","2,65",,"5,82"
Daboia siamensis,343250,Viperidae,,,,,,,,,,,
Deinagkistrodon acutus,36307,Viperidae,,,,,,,,,,,
Dendroaspis angusticeps,8618,Elapidae,,,"6,70",,"69,20","16,30","2,00",,,,"5,80"
Dendroaspis jamesoni,8623,Elapidae,,,,,,,,,,,
Dendroaspis polylepis,8624,Elapidae,,,"3,20",,"31,00","61,10",,,,"2,90","1,80"
Dendroaspis viridis,8621,Elapidae,,,,,,,,,,,
Echis carinatus,40353,Viperidae,"7,97","4,58","56,57","1,19",,,"1,99","16,53","7,70",,"3,47"
Echis coloratus,64175,Viperidae,"5,70","3,58","61,41","3,91",,,"5,69","9,45","5,80",,"4,46"
Echis jogeri,696809,Viperidae,,,,,,,,,,,
Echis leucogaster,504457,Viperidae,,,,,,,,,,,
Echis ocellatus,99586,Viperidae,"8,50","1,71","72,43","1,36",,,"0,34","6,46",,,"9,20"
Echis pyramidum,8700,Viperidae,"21,57","1,42","48,94","2,83",,,,"24,26",,,"0,98"
Hypnale hypnale,44720,Viperidae,,,,,,,,,,,
Macrovipera lebetina,8709,Viperidae,"14,60","14,90","32,10","1,70",,,"2,60","14,80","11,30","5,30","2,70"
Naja anchietae,263737,Elapidae,,,,,,,,,,,
Naja annulata,8609,Elapidae,,,,,,,,,,,
Naja annulifera,96794,Elapidae,,,,,,,,,,,
Naja ashei,696811,Elapidae,,,,,,,,,,,
Naja atra,8656,Elapidae,"13,85",,"1,95","0,20","81,15",,"2,05",,,,"0,80"
Naja haje,8639,Elapidae,"4,00",,"9,00","1,00","60,00","1,90","10,00",,,,"14,10"
Naja kaouthia,8649,Elapidae,"20,00",,"2,15","0,87","68,75","0,50","3,20",,,"0,20","4,33"
Naja katiensis,409859,Elapidae,"29,00",,"3,30",,"67,10",,"0,20",,,,"0,40"
Naja mandalayensis,96795,Elapidae,,,,,,,,,,,
Naja melanoleuca,8643,Elapidae,"12,90",,"9,70",,"57,10","3,80","7,60",,,,"8,90"
Naja mossambica,8644,Elapidae,"27,10",,"2,60",,"69,30",,,,,,"1,00"
Naja naja,35670,Elapidae,"15,60","0,30","0,93","0,80","72,77","0,40","2,77",,,"2,00","4,43"
Naja nigricincta,409860,Elapidae,,,,,,,,,,,
Naja nigricollis,8654,Elapidae,"21,90",,"2,40",,"73,20",,"0,20",,,,"2,30"
Naja nivea,8655,Elapidae,,,,,,,,,,,
Naja nubiae,186441,Elapidae,"26,4",,"2,6",,"70,9",,,,,,"0,10"
Naja oxiana,8657,Elapidae,,,,,,,,,,,
Naja philippinensis,8659,Elapidae,,,,,,,,,,,
Naja samarensis,8660,Elapidae,,,,,,,,,,,
Naja senegalensis,862238,Elapidae,,,,,,,,,,,
Naja siamensis,84476,Elapidae,,,,,,,,,,,
Naja sputatrix,33626,Elapidae,"31,20","0,40","1,30","0,10","64,20","0,20",,,,,"2,60"
Naja sumatrana,1108807,Elapidae,,,,,,,,,,,
Trimeresurus albolabris,8765,Viperidae,,,,,,,,,,,
Trimeresurus erythrurus,109779,Viperidae,,,,,,,,,,,
Trimeresurus insularis,174297,Viperidae,,,,,,,,,,,
Dispholidus typus,46295,Colubridae,"7,6","5,5","74,6",,"6,2",,"5,4","0,4",,,"0,3"
