species_name,common_name,taxid,family,region,category
Atheris chlorechis,West African bush viper,110216,Viperidae,West Sub-Saharan Africa,2
Atheris squamigera,Variable bush viper,110225,Viperidae,West Sub-Saharan Africa,2
Atractaspis irregularis,Variable burrowing asp,512568,Atractaspidae,West Sub-Saharan Africa,2
Bitis arietans,Puff adder,8692,Viperidae,West Sub-Saharan Africa,1
Bitis gabonica,East African Gaboon viper,8694,Viperidae,West Sub-Saharan Africa,1
Bitis nasicornis,Rhinoceros viper,8695,Viperidae,West Sub-Saharan Africa,1
Bitis rhinoceros,West African Gaboon viper,715877,Viperidae,West Sub-Saharan Africa,1
Cerastes cerastes,Horned viper,8697,Viperidae,West Sub-Saharan Africa,1
Dendroaspis jamesoni,Jameson's mamba,8623,Elapidae,West Sub-Saharan Africa,1
Dendroaspis polylepis,Black mamba,8624,Elapidae,West Sub-Saharan Africa,1
Dendroaspis viridis,Western green mamba,8621,Elapidae,West Sub-Saharan Africa,1
Dispholidus typus,Boomslang,46295,Colubridae,West Sub-Saharan Africa,2
Echis jogeri,Joger's carpet viper,696809,Viperidae,West Sub-Saharan Africa,1
Echis leucogaster,White-bellied carpet viper,504457,Viperidae,West Sub-Saharan Africa,1
Echis ocellatus,West African carpet viper,99586,Viperidae,West Sub-Saharan Africa,1
Naja annulata,Banded water cobra,8609,Elapidae,West Sub-Saharan Africa,2
Naja haje,Egyptian cobra,8639,Elapidae,West Sub-Saharan Africa,1
Naja katiensis,West African brown spitting cobra,409859,Elapidae,West Sub-Saharan Africa,1
Naja melanoleuca,Forest cobra,8643,Elapidae,West Sub-Saharan Africa,1
Naja nigricollis,Black-necked spitting cobra,8654,Elapidae,West Sub-Saharan Africa,1
Naja nubiae,Nubian spitting cobra,186441,Elapidae,West Sub-Saharan Africa,2
Naja senegalensis,Senegalese cobra,862238,Elapidae,West Sub-Saharan Africa,1
Pseudohaje goldii,Gold's tree cobra,1545503,Elapidae,West Sub-Saharan Africa,2
Thelotornis kirtlandii,Forest vine or twig snake,292880,Colubridae,West Sub-Saharan Africa,2
